time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446400000	16.9844	5.16508	5.12046	0.902062	0.704483	lidar	0.163503	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1598	5.32802	5.09264	0.897353	0.605169	radar	1.89502	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3183	5.4937	5.0384	0.908105	0.571586	lidar	0.273961	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.478	5.65596	4.97843	0.91536	0.537842	radar	3.0326	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6794	5.74838	4.84147	0.867429	0.404029	lidar	2.01467	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.823	5.94303	4.81388	0.910293	0.486092	radar	0.471189	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	17.9954	6.13236	4.83384	0.920901	0.459559	lidar	0.986131	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1485	6.33787	4.88524	0.934694	0.412982	radar	0.897209	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2621	6.59271	4.96317	0.996929	0.490584	lidar	0.534439	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.3942	6.80936	4.97805	1.02406	0.49404	radar	0.192992	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5518	6.91937	4.81436	0.986409	0.384631	lidar	1.85036	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7079	7.11699	4.86751	0.970853	0.262708	radar	0.707557	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9197	7.23444	4.76899	0.909452	0.127785	lidar	3.31245	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	19.0062	7.42794	4.64098	0.980973	0.349292	radar	4.13187	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0793	7.73047	4.79625	1.07754	0.500394	lidar	1.86655	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2081	7.92556	4.79991	1.0707	0.402679	radar	0.362547	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2808	8.15387	4.80757	1.11743	0.449755	lidar	1.25108	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3857	8.35596	4.8131	1.11225	0.344207	radar	2.18045	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.487	8.49087	4.65916	1.09844	0.293895	lidar	3.04234	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5804	8.69167	4.61633	1.12874	0.360151	radar	0.487347	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7485	8.86126	4.57689	1.09425	0.26691	lidar	3.70687	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8207	9.08101	4.5481	1.15397	0.418318	radar	1.08714	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9453	9.32235	4.62638	1.16864	0.405827	lidar	3.37463	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9846	9.5522	4.59064	1.25457	0.614226	radar	1.86683	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0599	9.80687	4.66288	1.29361	0.626939	lidar	1.08336	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1263	10.0569	4.75122	1.29483	0.475696	radar	7.78399	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1628	10.3494	4.87158	1.35059	0.523776	lidar	0.968441	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1727	10.5963	4.86409	1.42008	0.652632	radar	2.03456	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.224	10.8756	4.94458	1.45174	0.646556	lidar	2.13632	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.253	11.1419	5.00795	1.45906	0.518716	radar	5.00234	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.2903	11.3731	4.97229	1.47523	0.505662	lidar	0.0920344	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2255	11.634	4.96252	1.59868	0.830427	radar	8.1857	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3001	11.8587	4.90128	1.59306	0.757556	lidar	5.82547	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3353	12.0919	4.90179	1.53672	0.383229	radar	4.6275	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3217	12.3864	5.01038	1.5703	0.399893	lidar	0.782176	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2666	12.6265	4.96566	1.66331	0.674672	radar	2.69323	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.298	12.8524	4.90352	1.66639	0.627654	lidar	2.33784	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.2901	13.0807	4.86696	1.68303	0.592566	radar	2.19006	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2588	13.2831	4.78754	1.71065	0.592281	lidar	0.961005	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2224	13.5177	4.79427	1.72101	0.499431	radar	1.32544	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2034	13.7791	4.83704	1.73697	0.483859	lidar	1.42849	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1481	14.0038	4.80776	1.78386	0.576053	radar	0.807418	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0905	14.263	4.86208	1.8143	0.577149	lidar	0.366494	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0189	14.4924	4.86016	1.84122	0.552032	radar	1.33287	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9048	14.755	4.95146	1.88946	0.580524	lidar	0.971645	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8407	14.9706	4.90923	1.8875	0.453789	radar	3.27128	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.824	15.1784	4.81402	1.88362	0.418586	lidar	2.27281	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6922	15.3818	4.76648	2.02349	0.917564	radar	6.59602	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6685	15.5509	4.60807	2.03427	0.868213	lidar	3.58358	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5893	15.7474	4.5672	2.03327	0.692521	radar	1.84431	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
